Order_Date,Region,Category,Sales_Channel,Units_Sold,Unit_Price,Discount_Rate,Total_Revenue,Total_Profit
2023-01-01,Latin America,Office Supplies,Distributor,2,19.99,0.05,37.98,21.61
2023-01-02,North America,Books,Distributor,35,299.99,0.1,9449.68,2921.12
2023-01-03,Middle East,Apparel,Distributor,42,49.99,0.0,2099.58,1192.76
2023-01-04,Asia-Pacific,Books,Distributor,34,19.99,0.25,45000.0,173.66
2023-01-05,Asia-Pacific,Books,Distributor,30,120.0,0.15,3060.0,1615.88
2023-01-06,North America,Home & Kitchen,Online,13,19.99,0.25,194.9,37.81
2023-01-07,Latin America,Apparel,Distributor,13,19.99,0.05,246.88,129.9
2023-01-08,Latin America,Apparel,Online,18,299.99,0.25,4049.86,828.41
2023-01-09,Middle East,Apparel,Distributor,32,49.99,0.05,1519.7,403.89
2023-01-10,North America,Books,Direct Sales,32,120.0,0.25,2880.0,1260.28
2023-01-11,Asia-Pacific,Office Supplies,Retail Store,35,850.0,0.0,29750.0,17162.08
2023-01-12,Latin America,Apparel,Online,39,850.0,0.0,33150.0,16504.92
2023-01-13,North America,Books,Distributor,46,19.99,0.0,919.54,312.72
2023-01-14,Latin America,Home & Kitchen,Direct Sales,29,299.99,0.0,8699.71,4657.31
2023-01-15,Latin America,Office Supplies,Retail Store,49,299.99,0.0,14699.51,7230.49
2023-01-16,Asia-Pacific,Home & Kitchen,Online,29,850.0,0.0,24650.0,14283.4
2023-01-17,Europe,Office Supplies,Retail Store,44,120.0,0.05,5016.0,1695.16
2023-01-18,Middle East,Books,Direct Sales,16,49.99,0.15,679.86,261.95
2023-01-19,Middle East,Electronics,Online,44,120.0,0.25,3960.0,645.35
2023-01-20,Asia-Pacific,Office Supplies,Retail Store,47,49.99,0.0,2349.53,772.8
2023-01-21,Latin America,Home & Kitchen,Distributor,10,850.0,0.05,8075.0,4081.45
2023-01-22,North America,Books,Online,30,49.99,0.05,1424.72,461.58
2023-01-23,Latin America,Office Supplies,Retail Store,25,299.99,0.05,7124.76,3991.9
2023-01-24,Asia-Pacific,Electronics,Direct Sales,39,19.99,0.15,662.67,140.6
2023-01-25,Middle East,Electronics,Direct Sales,20,19.99,0.25,299.85,61.88
2023-01-26,Latin America,Apparel,Online,5,850.0,0.15,3612.5,797.86
2023-01-27,Middle East,Apparel,Retail Store,1,299.99,0.1,269.99,149.98
2023-01-28,North America,Home & Kitchen,Online,30,120.0,0.05,3420.0,1797.39
2023-01-29,Middle East,Office Supplies,Online,49,299.99,0.1,13229.56,5630.97
2023-01-30,Middle East,Office Supplies,Retail Store,3,19.99,0.0,59.97,29.15
2023-01-31,Europe,Apparel,Retail Store,45,19.99,0.0,899.55,478.54
2023-02-01,Europe,Office Supplies,Distributor,14,299.99,0.15,3569.88,1409.12
2023-02-02,Europe,Office Supplies,Retail Store,30,299.99,0.25,6749.78,2802.02
2023-02-03,Middle East,Electronics,Direct Sales,4,19.99,0.1,71.96,30.07
2023-02-04,Asia-Pacific,Apparel,Online,18,120.0,0.25,1620.0,236.07
2023-02-05,Middle East,Books,Online,37,850.0,0.15,26732.5,9632.47
2023-02-06,Asia-Pacific,Apparel,Direct Sales,25,850.0,0.0,21250.0,12635.25
2023-02-07,Asia-Pacific,Books,Retail Store,48,299.99,0.25,10799.64,3219.25
2023-02-08,Europe,Electronics,Direct Sales,1,850.0,0.25,637.5,290.57
2023-02-09,Latin America,Home & Kitchen,Direct Sales,46,19.99,0.0,919.54,285.17
2023-02-10,North America,Office Supplies,Distributor,15,19.99,0.1,269.86,138.45
2023-02-11,Europe,Electronics,Direct Sales,9,299.99,0.0,2699.91,1046.74
2023-02-12,Europe,Office Supplies,Online,15,299.99,0.25,3374.89,261.75
2023-02-13,Latin America,Home & Kitchen,Direct Sales,49,299.99,0.1,13229.56,3707.05
2023-02-14,North America,Home & Kitchen,Online,24,120.0,0.1,2592.0,835.79
2023-02-15,Middle East,Electronics,Online,4,850.0,0.0,3400.0,1183.75
2023-02-16,Middle East,Home & Kitchen,Online,12,299.99,0.25,2699.91,199.65
2023-02-17,Europe,Books,Retail Store,37,49.99,0.15,1572.19,487.56
2023-02-18,North America,Home & Kitchen,Distributor,37,49.99,0.25,1387.22,337.08
2023-02-19,Europe,Office Supplies,Online,43,19.99,0.05,816.59,310.76
2023-02-20,Asia-Pacific,Office Supplies,Online,6,850.0,0.15,4335.0,1480.01
2023-02-21,Europe,Office Supplies,Retail Store,39,299.99,0.1,10529.65,3620.72
2023-02-22,Europe,Office Supplies,Online,46,49.99,0.15,1954.61,724.46
2023-02-23,Middle East,Books,Direct Sales,24,850.0,0.1,18360.0,8863.13
2023-02-24,Middle East,Apparel,Direct Sales,11,19.99,0.1,197.9,102.01
2023-02-25,Middle East,Electronics,Distributor,13,120.0,0.15,1326.0,670.02
2023-02-26,Asia-Pacific,Office Supplies,Online,34,850.0,0.1,26010.0,12167.05
2023-02-27,Middle East,Home & Kitchen,Retail Store,25,850.0,0.1,19125.0,10330.96
2023-02-28,North America,Office Supplies,Direct Sales,7,120.0,0.05,798.0,319.07
2023-03-01,Latin America,Home & Kitchen,Retail Store,4,850.0,,2550.0,900.49
2023-03-02,North America,Home & Kitchen,Retail Store,8,19.99,0.25,119.94,16.41
2023-03-03,North America,Office Supplies,Direct Sales,20,19.99,0.05,379.81,210.99
2023-03-04,Middle East,Books,Retail Store,29,120.0,0.15,2958.0,1329.69
2023-03-05,Latin America,Home & Kitchen,Direct Sales,45,299.99,0.0,13499.55,5142.33
2023-03-06,Latin America,Home & Kitchen,Retail Store,46,49.99,0.0,2299.54,966.63
2023-03-07,Latin America,Office Supplies,Direct Sales,10,299.99,0.0,2999.9,1741.9
2023-03-08,Asia-Pacific,Home & Kitchen,Online,43,850.0,0.05,34722.5,10483.57
2023-03-09,Middle East,Home & Kitchen,Distributor,34,49.99,0.05,1614.68,487.5
2023-03-10,Latin America,Office Supplies,Direct Sales,26,120.0,0.1,2808.0,1250.74
2023-03-11,Asia-Pacific,Office Supplies,Direct Sales,41,120.0,0.0,4920.0,2449.56
2023-03-12,Europe,Electronics,Distributor,49,49.99,0.15,2082.08,375.49
2023-03-13,Europe,Books,Direct Sales,3,19.99,0.15,50.97,15.72
2023-03-14,Asia-Pacific,Books,Direct Sales,6,49.99,0.0,299.94,132.16
2023-03-15,Asia-Pacific,Home & Kitchen,Retail Store,5,850.0,0.0,4250.0,1481.36
2023-03-16,Middle East,Books,Distributor,5,19.99,0.0,99.95,51.42
2023-03-17,Middle East,Home & Kitchen,Online,47,120.0,0.05,5358.0,2375.82
2023-03-18,Europe,Electronics,Direct Sales,23,49.99,0.05,1092.28,540.01
2023-03-19,Latin America,Office Supplies,Distributor,49,299.99,0.05,13964.53,4604.64
2023-03-20,Europe,Office Supplies,Retail Store,9,299.99,0.25,2024.93,480.57
